Title,Creator,Checkouts
Fire and fury : inside the Trump White House / Michael Wolff.,"Wolff, Michael, 1953-",3132
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,3128
All you can ever know : a memoir / Nicole Chung.,"Chung, Nicole",3115
My year of rest and relaxation / Ottessa Moshfegh.,"Moshfegh, Ottessa",3112
Brave New World (Unabridged),Aldous Huxley,3112
How to be an antiracist / Ibram X. Kendi.,"Kendi, Ibram X.",3112
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Marie Kondo,3107
The Testaments: The Sequel to The Handmaid's Tale,Margaret Atwood,3107
"Make Me: Jack Reacher Series, Book 20",Lee Child,3099
Children of blood and bone / Tomi Adeyemi.,"Adeyemi, Tomi",3090
Clock dance / Anne Tyler.,"Tyler, Anne",3081
Garfield lard of the jungle / by Jim Davis.,"Davis, Jim, 1945 July 28-",3077
Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race (unabridged) (Unabridged),Margot Lee Shetterly,3077
The Great Alone: A Novel (unabridged) (Unabridged),Kristin Hannah,3073
The Paris Wife: A Novel,Paula McLain,3071
The island of sea women : a novel / Lisa See.,"See, Lisa",3065
The Secret History,Donna Tartt,3060
In the midst of winter : a novel / Isabel Allende ; translated by Nick Castor and Amanda Hopkinson.,"Allende, Isabel",3053
Sharp Objects: A Novel (unabridged) (Unabridged),Gillian Flynn,3053
The sympathizer / Viet Thanh Nguyen.,"Nguyen, Viet Thanh, 1971-",3052
Garfield. Caution: wide load / by Jim Davis.,"Davis, Jim, 1945 July 28-",3048
Range : why generalists triumph in a specialized world / David Epstein.,"Epstein, David J., 1983-",3048
